,tag_id,parent_id,child_id
0,1,105,
1,2,105,
2,3,100,
3,4,345,
4,5,322,
5,6,266,
6,8,1134,
7,9,1285,
8,10,0,
9,11,0,
10,12,650,
11,13,0,
12,14,1461,
13,15,609,
14,16,1554,
15,17,851,
16,17,0,
17,18,547,
18,19,0,
19,20,622,
20,21,0,
21,22,0,
22,23,0,
23,24,0,
24,25,400,
25,26,650,
26,27,609,28
27,27,609,757
28,27,609,764
29,27,607,28
30,27,607,757
31,27,607,764
32,28,27,
33,28,27,
34,29,1752,
35,30,672,
36,31,1215,
37,32,869,306
38,33,672,
39,34,42,
40,35,650,
41,37,1676,
42,37,1405,
43,38,578,
44,39,1676,
45,36,650,
46,40,122,120
47,41,122,865
48,41,122,873
49,42,122,34
50,42,122,1284
51,43,122,578
52,44,122,60
53,44,122,147
54,44,122,225
55,44,122,307
56,44,122,718
57,44,122,800
58,44,122,816
59,44,122,1145
60,44,122,1283
61,45,865,
62,46,1134,799
63,46,1134,1062
64,47,0,
65,48,0,
66,49,0,
67,50,266,
68,51,1338,
69,52,1215,
70,52,0,
71,53,0,
72,54,1521,481
73,54,1521,533
74,54,1521,949
75,54,1521,950
76,54,1521,1306
77,54,1521,1524
78,55,0,
79,56,0,
80,57,0,
81,58,650,
82,59,1359,
83,60,44,
84,61,1769,
85,62,1769,
86,63,0,
87,64,0,
88,65,0,
89,66,873,
90,67,1401,
91,68,1148,
92,69,1664,
93,70,385,
94,71,1338,
95,72,1338,
96,73,1338,
97,74,100,
98,76,825,
99,77,0,
100,78,1215,
101,79,1215,
102,80,1066,
103,80,1781,927
104,80,1781,1041
105,81,100,
106,82,1683,
107,83,1129,
108,84,0,
109,85,0,
110,86,0,
111,87,1338,
112,88,1683,
113,89,0,
114,90,0,
115,91,0,
116,92,1250,
117,93,1285,
118,93,0,
119,94,0,
120,95,0,
121,96,1250,
122,97,0,
123,98,322,
124,99,1271,426
125,99,1271,518
126,99,1271,607
127,99,1271,727
128,99,1271,745
129,99,1271,782
130,99,1271,1570
131,99,1271,1686
132,100,446,344
133,100,446,1213
134,100,344,3
135,100,344,141
136,100,344,142
137,100,344,143
138,100,344,148
139,100,344,155
140,100,344,157
141,100,344,159
142,100,344,267
143,100,344,287
144,100,344,343
145,100,344,376
146,100,344,418
147,100,344,478
148,100,344,498
149,100,344,592
150,100,344,666
151,100,344,700
152,100,344,703
153,100,344,822
154,100,344,828
155,100,344,831
156,100,344,821
157,100,344,866
158,100,344,874
159,100,344,891
160,100,344,1080
161,100,344,1156
162,100,344,1223
163,100,344,1270
164,100,344,1291
165,100,344,1292
166,100,344,1295
167,100,344,1328
168,100,344,1331
169,100,344,1343
170,100,344,1457
171,100,344,1475
172,100,344,1592
173,100,344,1747
174,100,344,1748
175,100,344,1798
176,100,344,1799
177,100,344,1803
178,100,344,1807
179,100,344,1816
180,100,344,1817
181,100,344,1829
182,100,1271,74
183,100,1271,149
184,100,1271,159
185,100,1271,370
186,100,1271,590
187,100,1271,706
188,100,1271,827
189,100,1271,833
190,100,1271,1085
191,100,1271,1269
192,100,1271,1292
193,100,1271,1328
194,100,1271,1805
195,100,1271,1814
196,100,1521,81
197,100,1521,1271
198,100,1521,1497
199,100,1521,1498
200,100,1521,1526
201,100,1521,1527
202,100,1521,1528
203,101,1068,219
204,101,1068,344
205,101,1068,413
206,101,1068,427
207,101,1068,536
208,101,1068,888
209,101,1068,1214
210,101,1068,1325
211,101,1068,1451
212,101,1068,1533
213,102,1213,146
214,102,1213,155
215,102,1213,158
216,102,1213,161
217,102,1213,385
218,102,1213,471
219,102,1213,634
220,102,1213,633
221,102,1213,732
222,102,1213,857
223,102,1213,1077
224,102,1213,1217
225,102,1213,1218
226,102,1213,1293
227,102,1213,1422
228,102,1213,1560
229,102,1213,1606
230,102,1213,1617
231,102,1213,1619
232,102,1213,1724
233,102,1213,1722
234,103,1026,209
235,103,1026,342
236,103,1026,378
237,103,1026,482
238,103,1026,635
239,103,1026,877
240,103,1026,966
241,103,1026,971
242,103,1026,972
243,103,1026,973
244,103,1026,1014
245,103,1026,1037
246,103,1026,1364
247,103,1026,1536
248,103,1026,1670
249,103,1026,1755
250,104,0,
251,105,813,887
252,106,139,
253,106,138,
254,107,0,
255,108,0,
256,109,1240,145
257,109,1240,200
258,109,1240,226
259,109,1240,383
260,109,1240,384
261,109,1240,441
262,109,1240,443
263,109,1240,444
264,109,1240,445
265,109,1240,461
266,109,1240,519
267,109,1240,588
268,109,1240,617
269,109,1240,658
270,109,1240,682
271,109,1240,776
272,109,1240,793
273,109,1240,962
274,109,1240,1030
275,109,1240,1051
276,109,1240,1093
277,109,1240,1242
278,109,1240,1333
279,109,1240,1430
280,109,1240,1454
281,109,1240,1480
282,109,1240,1481
283,109,1240,1607
284,109,1240,1631
285,109,1240,1791
286,110,1250,
287,111,1338,
288,112,0,
289,113,1360,
290,114,0,
291,115,0,
292,116,1341,
293,117,310,
294,118,100,
295,119,0,
296,120,40,134
297,120,40,868
298,120,40,1682
299,120,40,1707
300,121,0,
301,121,650,
302,121,215,
303,122,0,40
304,122,0,41
305,122,0,42
306,122,0,43
307,122,0,44
308,122,0,100
309,122,0,105
310,122,0,650
311,122,0,788
312,122,0,1341
313,122,0,1405
314,125,1341,
315,126,1069,
316,123,1831,
317,124,578,
318,127,650,
319,128,100,
320,129,1683,
321,129,1781,618
322,129,1781,1046
323,129,1781,1453
324,129,1781,1539
325,130,105,
326,131,1405,
327,132,1335,
328,133,865,
329,134,120,789
330,134,120,1455
331,134,120,1499
332,134,120,1541
333,135,873,
334,136,1215,
335,138,1781,106
336,138,1781,520
337,138,1781,640
338,139,1683,106
339,139,1683,520
340,137,1066,
341,140,0,
342,141,100,
343,142,100,
344,143,100,
345,144,1215,
346,145,109,
347,146,102,
348,147,44,
349,148,100,
350,149,100,
351,150,100,
352,150,870,
353,151,100,
354,151,1469,
355,151,650,
356,152,392,
357,153,1846,
358,154,328,156
359,155,100,
360,155,102,
361,155,831,
362,156,154,
363,157,100,
364,157,1292,
365,158,102,1134
366,158,102,1769
367,158,1214,
368,159,100,
369,159,100,
370,159,100,
371,160,1214,
372,161,102,
373,161,328,
374,162,100,
375,163,345,
376,164,650,
377,165,650,
378,166,870,
379,167,1223,
380,168,0,
